participant,trialnumber,blocknumber,condition,eventtype,eventtype2,RDKnumber,eventcolor,eventfrequency,eventnumber,eventonsettimes,response,RT
1,2,1,1,distractor,distractor,3,grün,23,1,0.652083333333333,CR,NaN
1,4,1,1,distractor,distractor,3,grün,23,1,0.610416666666667,CR,NaN
1,9,1,1,distractor,distractor,3,grün,23,1,1.21875,FA_proper,763.776016235352
1,10,1,3,target,target_primed,3,grün,23,1,0.69375,hit,1159.56945419312
1,11,1,3,target,target_primed,3,grün,23,1,0.352083333333333,miss,NaN
1,12,1,3,distractor,distractor,2,blau,20,1,0.702083333333333,CR,NaN
1,12,1,3,distractor,distractor,2,blau,20,2,1.65208333333333,FA_proper,695.227829615275
1,19,1,2,distractor,distractor,1,orange,17,1,0.59375,FA_proper,793.577591578166
1,19,1,2,distractor,distractor,1,orange,17,2,1.53541666666667,CR,NaN
1,21,1,2,distractor,distractor,1,orange,17,1,0.410416666666667,FA_proper,1088.44024340312
1,21,1,2,distractor,distractor,1,orange,17,2,1.41041666666667,CR,NaN
1,26,1,3,distractor,distractor,2,blau,20,1,1.65208333333333,CR,NaN
1,29,1,2,target,target_nonprimed,3,grün,23,1,1.47708333333333,miss,NaN
1,31,1,3,target,target_primed,3,grün,23,1,0.785416666666667,hit,925.960111618042
1,33,1,1,target,target_nonprimed,2,blau,20,1,0.552083333333333,miss,NaN
1,33,1,1,distractor,distractor,3,grün,23,2,1.52708333333333,FA_proper,985.759957631429
1,37,1,2,distractor,distractor,1,orange,17,1,1.65208333333333,CR,NaN
1,38,1,1,target,target_nonprimed,2,blau,20,1,0.902083333333333,miss,NaN
1,42,1,3,distractor,distractor,2,blau,20,1,0.452083333333333,FA_proper,860.622914632161
1,42,1,3,distractor,distractor,2,blau,20,2,1.50208333333333,CR,NaN
1,43,1,3,distractor,distractor,2,blau,20,1,0.752083333333333,CR,NaN
1,43,1,3,distractor,distractor,2,blau,20,2,1.55208333333333,FA_proper,988.068262736003
1,44,1,1,distractor,distractor,3,grün,23,1,0.785416666666667,FA_proper,760.727024078369
1,45,1,2,distractor,distractor,1,orange,17,1,0.29375,CR,NaN
1,46,1,3,target,target_primed,3,grün,23,1,0.86875,hit,1119.04745101929
1,49,1,3,distractor,distractor,2,blau,20,1,0.402083333333333,FA_proper,877.328968048096
1,49,1,3,distractor,distractor,2,blau,20,2,1.65208333333333,CR,NaN
1,50,1,2,distractor,distractor,1,orange,17,1,0.59375,CR,NaN
1,50,1,2,distractor,distractor,1,orange,17,2,1.65208333333333,CR,NaN
1,55,2,3,distractor,distractor,2,blau,20,1,0.502083333333333,FA_proper,697.309064865112
1,55,2,3,target,target_nonprimed,1,orange,17,2,1.53541666666667,miss,NaN
1,57,2,2,target,target_primed,2,blau,20,1,0.552083333333333,hit,829.545259475708
1,57,2,2,distractor,distractor,1,orange,17,2,1.46875,CR,NaN
1,58,2,3,target,target_nonprimed,1,orange,17,1,1.29375,miss,NaN
1,60,2,3,target,target_nonprimed,1,orange,17,1,0.535416666666666,hit,854.700485865275
1,60,2,3,target,target_primed,3,grün,23,2,1.35208333333333,miss,NaN
1,61,2,2,target,target_nonprimed,3,grün,23,1,0.69375,hit,642.138942082723
1,61,2,2,distractor,distractor,1,orange,17,2,1.59375,CR,NaN
1,65,2,1,target,target_nonprimed,2,blau,20,1,0.652083333333333,hit,714.704306920369
1,65,2,1,distractor,distractor,3,grün,23,2,1.56875,CR,NaN
1,69,2,3,target,target_nonprimed,1,orange,17,1,0.59375,hit,623.346010843913
1,69,2,3,distractor,distractor,2,blau,20,2,1.55208333333333,CR,NaN
1,74,2,3,target,target_nonprimed,1,orange,17,1,1.11875,hit,635.451523462932
1,75,2,2,target,target_primed,2,blau,20,1,1.20208333333333,miss,NaN
1,76,2,3,distractor,distractor,2,blau,20,1,0.452083333333333,CR,NaN
1,76,2,3,target,target_nonprimed,1,orange,17,2,1.35208333333333,hit,591.216643651326
